Code,organization_label (en),REF URL organization_label (en),RET DAT organization_label (en),description (en),alias (en),instance of (P31),REF URL instance of (P31),RET DAT instance of (P31),located at street address (P6375),REF URL located at street address (P6375),RET DAT located at street address (P6375),city (P131),REF URL city (P131),RET DAT city (P131),county (P131),REF URL county (P131),RET DAT county (P131),state (P131),REF URL state (P131),RET DAT state (P131),country (P17),REF URL country (P17),RET DAT country (P17),phone number (P1329),REF URL phone number (P1329),RET DAT phone number (P1329),email address (P968),REF URL email address (P968),RET DAT email address (P968),official website (P856),REF URL official website (P856),RET DAT official website (P856),inception (P571),REF URL inception (P571),RET DAT inception (P571),"dissolved, abolished or demolished (P576)","REF URL dissolved, abolished or demolished (P576)","RET DAT dissolved, abolished or demolished (P576)",parent organization (P749),REF URL parent organization (P749),RET DAT parent organization (P749),subsidiaries (P355),REF URL subsidiaries (P355),RET DAT subsidiaries (P355),PO Box (P2918),REF URL PO Box (P2918),RET DAT PO Box (P2918),Postal Code (P281),REF URL Postal Code (P281),RET DAT Postal Code (P281),Facebook ID (P2013),REF URL Facebook ID (P2013),RET DAT Facebook ID (P2013),Source Notes,Internal Notes,
0001,6th Cavalry Museum,,,"museum in Oglethorpe, Georgia, USA",,museum,,,"2 Barnhardt Circle, Fort Oglethorpe, GA 30742",,,Oglethorpe,,,,,,Georgia,,,United States of America,,,+1-706-861-2860,,,mailto:chris@6thcavalrymuseum.com,https://web.archive.org/web/20191001173704/https://www.6thcavalrymuseum.org/contact-us,2019-10-01,http://www.6thcavalrymuseum.com,https://web.archive.org/web/20191009150506/http://www.6thcavalrymuseum.com/,2019-10-01,1981,https://web.archive.org/web/20191001160318/https://www.6thcavalrymuseum.org/about-us,2019-10-01,,,,,,,,,,,,,,,,,,,,,
0002,Albany Museum of Art,,,"museum in Albany, Georgia, USA",,museum,,,"311 Meadowlark Drive, Albany, GA 31707",,,Albany,,,,,,Georgia,,,United States of America,,,+1-229-439-8400,,,mailto:info@albanymuseum.com,,,http://www.albanymuseum.com,https://web.archive.org/web/20191009150548/http://www.albanymuseum.com/,2019-10-01,1983,https://web.archive.org/web/20191001162934/http://www.albanymuseum.com/,2019-10-01,,,,,,,,,,,,,,,,,,,,,
0003,Allman Brothers Band Museum at the Big House,,,"museum in Macon, Georgia, USA",,museum,,,"2321 Vineville Avenue, Macon, GA 31204",https://web.archive.org/web/20191001150353/https://www.thebighousemuseum.com/,2019-10-01,Macon,,,,,,Georgia,,,United States of America,,,+1-478-741-5551,,,mailto:info@thebighousemuseum.org,,,http://www.thebighousemuseum.org,https://web.archive.org/web/20191009150527/https://www.thebighousemuseum.com/,2019-10-01,,,,,,,,,,,,,,,,,,,,,,,,
0004,Annette Howell Turner Center for the Arts,,,"arts center in Valdosta, Georgia, USA",,arts center,,,"527 North Patterson Street, Valdosta, GA 31601",,,Valdosta,,,,,,Georgia,,,United States of America,,,+1-229-247-2787,,,,,,http://turnercenter.org/,https://web.archive.org/web/20191001161021/http://turnercenter.org/,2019-10-01,2003,https://web.archive.org/web/20191001161916/http://turnercenter.org/about/,2019-10-01,,,,Lowndes-Valdosta Arts Commission,https://web.archive.org/web/20191001161916/http://turnercenter.org/about/,2019-10-01,,,,,,,,,,,,,,,
0005,ArtsGeorgia Inc.,,,"not-for-profit arts organization in Lithia Springs, Georgia, USA",,not-for-profit arts organization,,,,,,Lithia Springs,,,,,,Georgia,,,United States of America,,,+1-404-310-8727,,,mailto:artsga@artsgeorgia.net,,,http://www.artsgeorgia.net,https://web.archive.org/web/20191009150355/https://www.artsgeorgia.net/,2019-10-01,,,,,,,,,,,,,220,,,30122,https://web.archive.org/web/20191016192228/https://www.artsgeorgia.net/home/contact/,2019-10-16,			,,,,,
0006,Atlanta Federal Reserve Bank Monetary Museum,,,"museum in Atlanta, Georgia, USA",,museum,,,"1000 Peachtree Street NE, Atlanta, GA 30309",,,Atlanta,,,,,,Georgia,,,United States of America,,,+1-404-498-8500,https://web.archive.org/web/20191001164220/https://www.frbatlanta.org/about/tours/museum.aspx,2019-10-01,mailto:amy.hennessy@atl.frb.org,,,https://www.frbatlanta.org/about/tours/museum.aspx,https://web.archive.org/web/20191009192520/https://www.frbatlanta.org/about/tours/museum.aspx,2019-10-01,,,,,,,Federal Reserve Bank of Atlanta,https://web.archive.org/web/20191001180319/https://www.frbatlanta.org/,2019-10-01,,,,,,,,,,,,,,,
0007,Atlanta History Center,,,"museum in Atlanta, Georgia, USA",,museum,,,"130 West Paces Ferry Road NW, Atlanta, GA 30305",,,Atlanta,,,,,,Georgia,,,United States of America,,,+1-404-814-4000,,,mailto:reference@atlantahistorycenter.com,,,https://www.atlantahistorycenter.com/,https://web.archive.org/web/20191001175356/https://www.atlantahistorycenter.com/,2019-10-01,1990,https://web.archive.org/web/20191001175746/https://www.atlantahistorycenter.com/about-us,2019-10-01,,,,,,,,,,,,,,,,,,,,,
0008,Augusta Canal,,,"heritage site in Augusta, Georgia, USA",,heritage site,,,"1450 Greene Street, Suite 400, Augusta, GA 30901",,,Augusta,,,,,,Georgia,,,United States of America,,,+1-706-823-0440,,,mailto:rrogers@augustacanal.com,https://web.archive.org/web/20191001183801/https://augustacanal.com/contact-us.php,2019-10-01,https://augustacanal.com/,https://web.archive.org/web/20191009150342/https://augustacanal.com/,2019-10-02,1845,https://web.archive.org/web/20191001184406/https://augustacanal.com/about-history.php,2019-10-01,,,,,,,,,,,,,,,,,,,,,
0009,Augusta Museum of History,,,"museum in Augusta, Georgia, USA",,museum,,,"560 Reynolds Street, Augusta, GA 30901",,,Augusta,,,,,,Georgia,,,United States of America,,,+1-706-722-8454,,,mailto:amh@csra.net,,,https://www.augustamuseum.org/,https://web.archive.org/web/20191009150335/https://www.augustamuseum.org/,2019-10-02,1937,https://web.archive.org/web/20191001185058/https://www.augustamuseum.org/AboutUs,2019-10-01,,,,,,,,,,,,,,,,,,,,,
0010,Averitt Center for the Arts,,,"arts center in Statesboro, Georgia, USA",,arts center,,,"33 East Main Street, Statesboro, GA 30458",,,Statesboro,,,,,,Georgia,,,United States of America,,,+1-912-212-2787,https://web.archive.org/web/20191001185856/https://www.averittcenterforthearts.org/,2019-10-01,mailto:exec@averittcenterforthearts.org,,,https://www.averittcenterforthearts.org/,https://web.archive.org/web/20191009150344/https://www.averittcenterforthearts.org/,2019-10-02,1997,https://web.archive.org/web/20191001190107/https://www.averittcenterforthearts.org/about,2019-10-01,,,,,,,,,,,,,,,,,,,,,
