Code,organization_label (en),REF URL organization_label (en),RET DAT organization_label (en),description (en),alias (en),instance of (P31),REF URL instance of (P31),RET DAT instance of (P31),located at street address (P6375),REF URL located at street address (P6375),RET DAT located at street address (P6375),city (P131),REF URL city (P131),RET DAT city (P131),county (P131),REF URL county (P131),RET DAT county (P131),state (P131),REF URL state (P131),RET DAT state (P131),country (P17),REF URL country (P17),RET DAT country (P17),coordinate location (P625),REF URL coordinate location (P625),RET DAT coordinate location (P625),phone number (P1329),REF URL phone number (P1329),RET DAT phone number (P1329),email address (P968),REF URL email address (P968),RET DAT email address (P968),official website (P856),REF URL official website (P856),RET DAT official website (P856),inception (P571),REF URL inception (P571),RET DAT inception (P571),"dissolved, abolished or demolished (P576)","REF URL dissolved, abolished or demolished (P576)","RET DAT dissolved, abolished or demolished (P576)",parent organization (P749),REF URL parent organization (P749),RET DAT parent organization (P749),subsidiaries (P355),REF URL subsidiaries (P355),RET DAT subsidiaries (P355),PO Box (P2918),REF URL PO Box (P2918),RET DAT PO Box (P2918),Postal Code (P281),REF URL Postal Code (P281),RET DAT Postal Code (P281),Facebook ID (P2013),REF URL Facebook ID (P2013),RET DAT Facebook ID (P2013)," Source Notes"," Internal Notes",QC
1364,2019 RKDS FILM FEST,https://web.archive.org/web/20200714145225/https://gaarts.org/,2020-07-14,"film festival in Valdosta, Georgia, USA",,film festival,https://web.archive.org/web/20200710191917/https://www.rkdsfilmfest.com/,2020-07-10,"801 West Hill Avenue, Valdosta, GA, 31601",https://web.archive.org/web/20200710192349/https://www.georgia-register.com/13429166-rkds-entertainment-media-llc,2020-07-10,Valdosta,https://web.archive.org/web/20200714145225/https://gaarts.org/,2020-07-14,Lowndes County,https://web.archive.org/web/20200714145225/https://gaarts.org/,2020-07-14,Georgia,https://web.archive.org/web/20200714145225/https://gaarts.org/,2020-07-14,United States of America,https://web.archive.org/web/20200714145225/https://gaarts.org/,2020-07-14,"30.826799, -83.287680","https://www.google.com/maps/place/RKDS+ENTERTAINMENT+%26+MEDIA,+LLC/@30.8267948,-83.2882302,19z",2020-07-10,+1-229-251-8416,,,mailto:www.RkdsFilmFest@yahoo.com,,,http://www.rkdsfilmfest.com,https://web.archive.org/web/20200710191917/https://www.rkdsfilmfest.com/,2020-07-10,,,,"","","",,,,,,,,,,,,,,,,"","Data set supplied via email by the Director of Georgia Council for the Arts",
1366,"A Través, Inc.",https://web.archive.org/web/20200714145225/https://gaarts.org/,2020-07-14,"not-for-profit arts organization in Decatur, Georgia, USA",,not-for-profit arts organization,https://web.archive.org/web/20200710194231/http://www.atravesarts.com/,2020-07-10,"2596 Midway Road, Decatur, GA, 30030",https://web.archive.org/web/20200710195054/https://www.georgia-register.com/14020826-a-traves-inc,2020-07-10,Decatur,https://web.archive.org/web/20200714145225/https://gaarts.org/,2020-07-14,DeKalb County,https://web.archive.org/web/20200714145225/https://gaarts.org/,2020-07-14,Georgia,https://web.archive.org/web/20200714145225/https://gaarts.org/,2020-07-14,United States of America,https://web.archive.org/web/20200714145225/https://gaarts.org/,2020-07-14,"33.758561, -84.282952","https://www.google.com/maps/place/2596+Midway+Rd,+Decatur,+GA+30030/@33.7585596,-84.2830906,21z",2020-07-10,+1-404-277-1499,https://web.archive.org/web/20200710194231/http://www.atravesarts.com/,2020-07-10,mailto:info@atravesarts.com,https://web.archive.org/web/20200710194231/http://www.atravesarts.com/,2020-07-10,http://www.atravesarts.com,https://web.archive.org/web/20200710194231/http://www.atravesarts.com/,2020-07-10,,,,"","","",,,,,,,,,,,,,,,,"","Data set supplied via email by the Director of Georgia Council for the Arts",
1376,"Abel 2, Inc.",https://web.archive.org/web/20200714145225/https://gaarts.org/,2020-07-14,"not-for-profit arts organization in Decatur, Georgia, USA",,not-for-profit arts organization,https://web.archive.org/web/20200714144215/http://www.abel2.org/,2020-07-14,"964 Ralph David Abernathy Boulevard, Suite C-20, Atlanta, GA 30310",https://web.archive.org/web/20200714144215/http://www.abel2.org/,2020-07-14,Atlanta,https://web.archive.org/web/20200714145225/https://gaarts.org/,2020-07-14,Fulton County,https://web.archive.org/web/20200714145225/https://gaarts.org/,2020-07-14,Georgia,https://web.archive.org/web/20200714145225/https://gaarts.org/,2020-07-14,United States of America,https://web.archive.org/web/20200714145225/https://gaarts.org/,2020-07-14,"33.737721, -84.419646","https://www.google.com/maps/place/964+Ralph+David+Abernathy+Blvd+Suite+C-20,+Atlanta,+GA+30310/@33.7377185,-84.4197833,21z",2020-07-14,+1-404-482-2209,https://web.archive.org/web/20200714144215/http://www.abel2.org,2020-07-14,mailto:abel2nonprofit@gmail.com,https://web.archive.org/web/20200714145225/https://gaarts.org/,2020-07-14,www.abel2.org,https://web.archive.org/web/20200714144215/http://www.abel2.org,2020-07-14,,,,"","","",,,,,,,,,,,,,,,,"","Data set supplied via email by the Director of Georgia Council for the Arts",
1382,Academy of Kuchipudi Dance,https://web.archive.org/web/20200714145225/https://gaarts.org/,2020-07-14,"dance academy in Suwanee, Georgia, USA",,dance studio,https://web.archive.org/web/20200714160358/http://www.kuchipudi.us/home.html,2020-07-14,"4175 Silver Peak Parkway, Suwanee, GA 30024",https://web.archive.org/web/20200714160358/http://www.kuchipudi.us/home.html,2020-07-14,Suwanee,https://web.archive.org/web/20200714145225/https://gaarts.org/,2020-07-14,Gwinnett County,https://www.mapdevelopers.com/what-county-am-i-in.php,2020-07-14,Georgia,https://web.archive.org/web/20200714145225/https://gaarts.org/,2020-07-14,United States of America,https://web.archive.org/web/20200714145225/https://gaarts.org/,2020-07-14,"34.055787, -84.081033","https://www.google.com/maps/place/Academy+of+Kuchipudi+Dance/@34.0557524,-84.0811647,21z",2020-07-14,+1-678-473-1753,https://web.archive.org/web/20200714160358/http://www.kuchipudi.us/home.html,2020-07-14,mailto:akdatlanta@gmail.com,https://web.archive.org/web/20200714160358/http://www.kuchipudi.us/home.html,2020-07-14,http://www.kuchipudi.us,https://web.archive.org/web/20200714160358/http://www.kuchipudi.us/home.html,2020-07-14,,,,"","","",,,,,,,,,,,,,,,,"","Data set supplied via email by the Director of Georgia Council for the Arts",
1387,Blind Willie McTell Music Festival,https://web.archive.org/web/20200714145225/https://gaarts.org/,2020-07-14,"music festival in Thomson, Georgia, USA",,music festival,https://web.archive.org/web/20200714162730/https://blindwillie.com/,2020-07-14,"1021 Stagecoach Road NE, Thomson, GA 30824",https://web.archive.org/web/20200714163337/https://blindwillie.com/info/contact/,2020-07-14,Thomson,https://web.archive.org/web/20200714145225/https://gaarts.org/,2020-07-14,McDuffie County,https://web.archive.org/web/20200714145225/https://gaarts.org/,2020-07-14,Georgia,https://web.archive.org/web/20200714145225/https://gaarts.org/,2020-07-14,United States of America,https://web.archive.org/web/20200714145225/https://gaarts.org/,2020-07-14,"33.540487, -82.500704","https://www.google.com/maps/place/Blind+Willie+McTell+Blues+Festival+Site/@33.5400977,-82.5014876,18z/",2020-07-14,+1-706-597-1000,https://web.archive.org/web/20200714163520/https://www.facebook.com/BlindWillieFest,2020-07-14,mailto:evance@thomson-mcduffie.net,https://web.archive.org/web/20200714145225/https://gaarts.org/,2020-07-14,www.blindwillie.com,https://web.archive.org/web/20200714162730/https://blindwillie.com/,2020-07-14,,,,"","","",,,,,,,,,,,,,BlindWillieFestBlindWillieFest,https://web.archive.org/web/20200714163520/https://www.facebook.com/BlindWillieFest,2020-07-14,"","Data set supplied via email by the Director of Georgia Council for the Arts",
1393,Actor's Express,https://web.archive.org/web/20200714145225/https://gaarts.org/,2020-07-14,"theatre in Atlanta, Georgia, USA",,theatre,https://web.archive.org/web/20200714164317/https://www.actors-express.com/,2020-07-14,"887 West Marietta Street, Suite J-107, Atlanta, GA 30318",https://web.archive.org/web/20200714164317/https://www.actors-express.com/,2020-07-14,Atlanta,https://web.archive.org/web/20200714145225/https://gaarts.org/,2020-07-14,Fulton County,https://web.archive.org/web/20200714145225/https://gaarts.org/,2020-07-14,Georgia,https://web.archive.org/web/20200714145225/https://gaarts.org/,2020-07-14,United States of America,https://web.archive.org/web/20200714145225/https://gaarts.org/,2020-07-14,"33.781792, -84.415781","https://www.google.com/maps/place/Actor's+Express+Theatre+Company/@33.782292,-84.4167462,19z",2020-07-14,+1-404-607-7469,https://web.archive.org/web/20200714164317/https://www.actors-express.com/,2020-07-14,mailto:info@actorsexpress.com,https://web.archive.org/web/20200714164808/https://www.actors-express.com/contact,2020-07-14,https://www.actors-express.com/,https://web.archive.org/web/20200714164317/https://www.actors-express.com/,2020-07-14,,,,"","","",,,,,,,,,,,,,AExpress,https://web.archive.org/web/20200714165146/https://www.facebook.com/AExpress,2020-07-14,"","Data set supplied via email by the Director of Georgia Council for the Arts",
1394,Acworth Cultural Arts,https://web.archive.org/web/20200714145225/https://gaarts.org/,2020-07-14,"arts centre in Acworth, Georgia, USA",,arts centre,https://web.archive.org/web/20200714170053/https://www.acworthculturalarts.org/,2020-07-14,"4367 Senator Russell Avenue, Acworth, GA 30101",https://web.archive.org/web/20200714170053/https://www.acworthculturalarts.org/,2020-07-14,Acworth,https://web.archive.org/web/20200714145225/https://gaarts.org/,2020-07-14,Cobb County,https://web.archive.org/web/20200714145225/https://gaarts.org/,2020-07-14,Georgia,https://web.archive.org/web/20200714145225/https://gaarts.org/,2020-07-14,United States of America,https://web.archive.org/web/20200714145225/https://gaarts.org/,2020-07-14,"34.065390, -84.677450","https://www.google.com/maps/place/Acworth+Cultural+Arts+Center/@34.0656259,-84.6785674,19z",2020-07-14,+1-770-672-0294,https://web.archive.org/web/20200714170053/https://www.acworthculturalarts.org/,2020-07-14,mailto:director@acworthculturalarts.org,https://web.archive.org/web/20200714172236/https://www.acworthculturalarts.org/contact,2020-07-14,www.acworthculturalarts.org,https://web.archive.org/web/20200714170053/https://www.acworthculturalarts.org/,2020-07-14,,,,"","","",,,,,,,,,,,,,acworthculturalartsacworthculturalarts,https://web.archive.org/web/20200714173620/https://www.facebook.com/acworthculturalarts,2020-07-14,"","Data set supplied via email by the Director of Georgia Council for the Arts",
1408,Afrikan Djeli Cultural Institute,https://web.archive.org/web/20200714145225/https://gaarts.org/,2020-07-14,"dance studio in Atlanta, Georgia, USA",,dance studio,https://web.archive.org/web/20200714174503/https://www.aaddf.org/,2020-07-14,,,,Atlanta,https://web.archive.org/web/20200714145225/https://gaarts.org/,2020-07-14,Fulton County,https://web.archive.org/web/20200714145225/https://gaarts.org/,2020-07-14,Georgia,https://web.archive.org/web/20200714145225/https://gaarts.org/,2020-07-14,United States of America,https://web.archive.org/web/20200714145225/https://gaarts.org/,2020-07-14,,,,+1-404-753-8933,https://web.archive.org/web/20200714174503/https://www.aaddf.org/,2020-07-14,mailto:info@afrikandjeli.com,https://web.archive.org/web/20200714174503/https://www.aaddf.org/,2020-07-14,www.aaddf.org,https://web.archive.org/web/20200714174503/https://www.aaddf.org/,2020-07-14,,,,"","","",,,,,,,115152,https://web.archive.org/web/20200714174503/https://www.aaddf.org/,2020-07-14,30310,https://web.archive.org/web/20200714174503/https://www.aaddf.org/,2020-07-14,atlantadancedrum,https://web.archive.org/web/20200714175845/https://www.facebook.com/atlantadancedrum,2020-07-14,"","Data set supplied via email by the Director of Georgia Council for the Arts",
1409,AIR Serenbe,https://web.archive.org/web/20200714145225/https://gaarts.org/,2020-07-14,"not-for-profit arts organization in Chattahoochee Hills, Georgia, USA",,not-for-profit arts organization,https://web.archive.org/web/20200714180255/https://www.airserenbe.com/,2020-07-14,"9110 Selborne Lane, Chattahoochee Hills, GA 30268",https://web.archive.org/web/20200714180255/https://www.airserenbe.com/,2020-07-14,Chattahoochee Hills,https://web.archive.org/web/20200714145225/https://gaarts.org/,2020-07-14,Fulton County,https://web.archive.org/web/20200714145225/https://gaarts.org/,2020-07-14,Georgia,https://web.archive.org/web/20200714145225/https://gaarts.org/,2020-07-14,United States of America,https://web.archive.org/web/20200714145225/https://gaarts.org/,2020-07-14,"33.524885, -84.735883","https://www.google.com/maps/place/Serenbe+Development/@33.5248729,-84.7359616,21z",2020-07-14,+1-678-897-0406,https://web.archive.org/web/20200714145225/https://gaarts.org/,2020-07-14,mailto:info@airserenbe.com,https://web.archive.org/web/20200714180255/https://www.airserenbe.com/,2020-07-14,www.airserenbe.com,https://web.archive.org/web/20200714180255/https://www.airserenbe.com/,2020-07-14,,,,"","","",,,,,,,,,,,,,,,,"","Data set supplied via email by the Director of Georgia Council for the Arts",
1419,Alapaha Station Celebration,https://web.archive.org/web/20200714145225/https://gaarts.org/,2020-07-14,"arts festival in Alapaha, Georgia, USA",,arts festival,https://web.archive.org/web/20200714181014/https://www.facebook.com/alapahastationcelebration/,2020-07-14,"245 NE Railroad Street, Alapaha, GA 31622",https://web.archive.org/web/20200714181835/https://www.facebook.com/alapahastationcelebration/about/,2020-07-14,Alapaha,https://web.archive.org/web/20200714145225/https://gaarts.org/,2020-07-14,Berrien County,https://web.archive.org/web/20200714145225/https://gaarts.org/,2020-07-14,Georgia,https://web.archive.org/web/20200714145225/https://gaarts.org/,2020-07-14,United States of America,https://web.archive.org/web/20200714145225/https://gaarts.org/,2020-07-14,"31.381670, -83.222952","https://www.google.com/maps/place/245+Railroad+St,+Alapaha,+GA+31622/@31.3816663,-83.2230885,21z",2020-07-14,+1-229-532-6191,https://web.archive.org/web/20200714181014/https://www.facebook.com/alapahastationcelebration/,2020-07-14,mailto:jeremylr@windstream.net,https://web.archive.org/web/20200714181835/https://www.facebook.com/alapahastationcelebration/about/,2020-07-14,https://www.facebook.com/alapahastationcelebration/,https://web.archive.org/web/20200714181014/https://www.facebook.com/alapahastationcelebration/,2020-07-14,,,,"","","",,,,,,,,,,,,,alapahastationcelebration,https://web.archive.org/web/20200714181014/https://www.facebook.com/alapahastationcelebration/,2020-07-14,"","Data set supplied via email by the Director of Georgia Council for the Arts",
