Code,organization_label (en),REF URL organization_label (en),RET DAT organization_label (en),description (en),alias (en),instance of (P31),REF URL instance of (P31),RET DAT instance of (P31),located at street address (P6375),REF URL located at street address (P6375),RET DAT located at street address (P6375),city (P131),REF URL city (P131),RET DAT city (P131),county (P131),REF URL county (P131),RET DAT county (P131),state (P131),REF URL state (P131),RET DAT state (P131),country (P17),REF URL country (P17),RET DAT country (P17),coordinate location (P625),REF URL coordinate location (P625),RET DAT coordinate location (P625),phone number (P1329),REF URL phone number (P1329),RET DAT phone number (P1329),email address (P968),REF URL email address (P968),RET DAT email address (P968),official website (P856),REF URL official website (P856),RET DAT official website (P856),inception (P571),REF URL inception (P571),RET DAT inception (P571),"dissolved, abolished or demolished (P576)","REF URL dissolved, abolished or demolished (P576)","RET DAT dissolved, abolished or demolished (P576)",parent organization (P749),REF URL parent organization (P749),RET DAT parent organization (P749),subsidiaries (P355),REF URL subsidiaries (P355),RET DAT subsidiaries (P355),PO Box (P2918),REF URL PO Box (P2918),RET DAT PO Box (P2918),Postal Code (P281),REF URL Postal Code (P281),RET DAT Postal Code (P281),Facebook ID (P2013),REF URL Facebook ID (P2013),RET DAT Facebook ID (P2013)," Source Notes"," Internal Notes",QC
1607,C4 Atlanta,https://web.archive.org/web/20200522142638/https://www.artsgeorgia.net/directory/georgia/,5/22/2020,"not-for-profit arts organization in Atlanta, Georgia, USA",,not-for-profit arts organization,https://web.archive.org/web/20200626191152/https://c4atlanta.org/,2020-06-26,"132 Mitchell Street SW, Fl 3, Atlanta, GA 30303",https://web.archive.org/web/20200626192748/https://c4atlanta.org/contact/,2020-06-26,Atlanta,https://web.archive.org/web/20200626192748/https://c4atlanta.org/contact/,2020-06-26,Fulton County,https://www.mapdevelopers.com/what-county-am-i-in.php,2020-06-26,Georgia,https://web.archive.org/web/20200522142638/https://www.artsgeorgia.net/directory/georgia/,5/22/2020,United States of America,https://web.archive.org/web/20200522142638/https://www.artsgeorgia.net/directory/georgia/,5/22/2020,"33.750423, -84.392359","https://www.google.com/maps/place/132+Mitchell+St+SW,+Atlanta,+GA+30303/@33.7504257,-84.3924649,21z",2020-06-26,+1-404-969-2787,https://web.archive.org/web/20200626192748/https://c4atlanta.org/contact/,2020-06-26,mailto:actionteam@c4atlanta.org,https://web.archive.org/web/20200626192748/https://c4atlanta.org/contact/,2020-06-26,https://c4atlanta.org/,https://web.archive.org/web/20200626191152/https://c4atlanta.org/,2020-06-26,,,,"","","",,,,,,,170319,https://web.archive.org/web/20200626192748/https://c4atlanta.org/contact/,2020-06-26,30317,https://web.archive.org/web/20200626192748/https://c4atlanta.org/contact/,2020-06-26,,,,"","",
1608,Atlanta Coalition of Performing Arts,https://web.archive.org/web/20200522142638/https://www.artsgeorgia.net/directory/georgia/,5/22/2020,"not-for-profit arts organization in Atlanta, Georgia, USA",Atlanta Performs,not-for-profit arts organization,https://web.archive.org/web/20200626195118/https://c4atlanta.org/tag/atlanta-performs/,2020-06-26,,,,,,,,,,Georgia,https://web.archive.org/web/20200522142638/https://www.artsgeorgia.net/directory/georgia/,5/22/2020,United States of America,https://web.archive.org/web/20200522142638/https://www.artsgeorgia.net/directory/georgia/,5/22/2020,,,,,,,,,,,,,,,,"2015","https://web.archive.org/web/20200626195118/https://c4atlanta.org/tag/atlanta-performs/","2020-06-26",,,,,,,,,,,,,,,,"","",
1609,VSA Arts of Georgia,https://web.archive.org/web/20200522142638/https://www.artsgeorgia.net/directory/georgia/,5/22/2020,"not-for-profit arts organization in Atlanta, Georgia, USA",,not-for-profit arts organization,https://web.archive.org/web/20200626201414/https://www.facebook.com/VSAartsGA/,2020-06-26,"57 Forsyth Street NW, Suite R-1, Atlanta, GA 30303",https://web.archive.org/web/20200626200049/https://www.gcapp.org/vsa,2020-06-26,Atlanta,https://web.archive.org/web/20200626200049/https://www.gcapp.org/vsa,2020-06-26,Fulton County,https://www.mapdevelopers.com/what-county-am-i-in.php,2020-06-26,Georgia,https://web.archive.org/web/20200522142638/https://www.artsgeorgia.net/directory/georgia/,5/22/2020,United States of America,https://web.archive.org/web/20200522142638/https://www.artsgeorgia.net/directory/georgia/,5/22/2020,,,,+1-404-221-1270,https://web.archive.org/web/20200626200049/https://www.gcapp.org/vsa,2020-06-26,,,,,,,,,,"","","",,,,,,,,,,,,,VSAartsGA,https://web.archive.org/web/20200626201414/https://www.facebook.com/VSAartsGA/,2020-06-26,"","",
1610,Georgia Artists with Disabilities,https://web.archive.org/web/20200522142638/https://www.artsgeorgia.net/directory/georgia/,5/22/2020,"not-for-profit arts organization in Covington, Georgia, USA",,not-for-profit arts organization,https://web.archive.org/web/20200626201842/https://www.georgiaartistswd.org/contact-us.php,2020-06-26,"190 Autumn Court, Covington, GA 30016",https://web.archive.org/web/20200626201842/https://www.georgiaartistswd.org/contact-us.php,2020-06-26,Covington,https://web.archive.org/web/20200626201842/https://www.georgiaartistswd.org/contact-us.php,2020-06-26,Newton County,https://www.mapdevelopers.com/what-county-am-i-in.php,2020-06-26,Georgia,https://web.archive.org/web/20200522142638/https://www.artsgeorgia.net/directory/georgia/,5/22/2020,United States of America,https://web.archive.org/web/20200522142638/https://www.artsgeorgia.net/directory/georgia/,5/22/2020,"33.500533, -83.998503","https://www.google.com/maps/place/190+Autumn+Ct,+Covington,+GA+30016/@33.5005294,-83.998638,21z",2020-06-26,+1-678-625-9788,https://web.archive.org/web/20200626201842/https://www.georgiaartistswd.org/contact-us.php,2020-06-26,mailto:theresashields84@hotmail.com,https://web.archive.org/web/20200626201842/https://www.georgiaartistswd.org/contact-us.php,2020-06-26,https://www.georgiaartistswd.org/index.php,https://web.archive.org/web/20200626201733/https://www.georgiaartistswd.org/,2020-06-26,,,,"","","",,,,,,,,,,,,,,,,"","",
1611,Festivals and Events,https://web.archive.org/web/20200626203338/https://festivalsandevents.com/,2020-06-26,"website in Bainbridge, Georgia, USA",,website,https://web.archive.org/web/20200626203338/https://festivalsandevents.com/,2020-06-26,,,,Bainbridge,https://web.archive.org/web/20200626203338/https://festivalsandevents.com/,2020-06-26,Decatur County,https://www.mapdevelopers.com/what-county-am-i-in.php,2020-06-26,Georgia,https://web.archive.org/web/20200522142638/https://www.artsgeorgia.net/directory/georgia/,5/22/2020,United States of America,https://web.archive.org/web/20200522142638/https://www.artsgeorgia.net/directory/georgia/,5/22/2020,,,,,,,,,,https://festivalsandevents.com/index.php,https://web.archive.org/web/20200626203338/https://festivalsandevents.com/,2020-06-26,,,,"","","",,,,,,,1686,https://web.archive.org/web/20200626203338/https://festivalsandevents.com/,2020-06-26,39818,https://web.archive.org/web/20200626203338/https://festivalsandevents.com/,2020-06-26,,,,"","",
1612,Georgia Lawyers for the Arts,https://web.archive.org/web/20200522142638/https://www.artsgeorgia.net/directory/georgia/,5/22/2020,"in Georgia, USA",,,,,,,,,,,,https://www.mapdevelopers.com/what-county-am-i-in.php,,Georgia,https://web.archive.org/web/20200522142638/https://www.artsgeorgia.net/directory/georgia/,5/22/2020,United States of America,https://web.archive.org/web/20200522142638/https://www.artsgeorgia.net/directory/georgia/,5/22/2020,,,,+1,,,mailto:,,,,,,,,,"","","",,,,,,,,,,,,,,,,"","",
1613,South Carolina Volunteer Lawyers for the Arts,https://web.archive.org/web/20200522142638/https://www.artsgeorgia.net/directory/georgia/,5/22/2020,"in Georgia, USA",,,,,,,,,,,,https://www.mapdevelopers.com/what-county-am-i-in.php,,Georgia,https://web.archive.org/web/20200522142638/https://www.artsgeorgia.net/directory/georgia/,5/22/2020,United States of America,https://web.archive.org/web/20200522142638/https://www.artsgeorgia.net/directory/georgia/,5/22/2020,,,,+1,,,mailto:,,,,,,,,,"","","",,,,,,,,,,,,,,,,"","",
1614,Georgia Center for Non Profits,https://web.archive.org/web/20200522142638/https://www.artsgeorgia.net/directory/georgia/,5/22/2020,"in Georgia, USA",,,,,,,,,,,,https://www.mapdevelopers.com/what-county-am-i-in.php,,Georgia,https://web.archive.org/web/20200522142638/https://www.artsgeorgia.net/directory/georgia/,5/22/2020,United States of America,https://web.archive.org/web/20200522142638/https://www.artsgeorgia.net/directory/georgia/,5/22/2020,,,,+1,,,mailto:,,,,,,,,,"","","",,,,,,,,,,,,,,,,"","",
1615,Georgia Alliance for Arts Education,https://web.archive.org/web/20200522142638/https://www.artsgeorgia.net/directory/georgia/,5/22/2020,"in Georgia, USA",,,,,,,,,,,,https://www.mapdevelopers.com/what-county-am-i-in.php,,Georgia,https://web.archive.org/web/20200522142638/https://www.artsgeorgia.net/directory/georgia/,5/22/2020,United States of America,https://web.archive.org/web/20200522142638/https://www.artsgeorgia.net/directory/georgia/,5/22/2020,,,,+1,,,mailto:,,,,,,,,,"","","",,,,,,,,,,,,,,,,"","",
1616,Georgia Art Education Association,https://web.archive.org/web/20200522142638/https://www.artsgeorgia.net/directory/georgia/,5/22/2020,"in Georgia, USA",,,,,,,,,,,,https://www.mapdevelopers.com/what-county-am-i-in.php,,Georgia,https://web.archive.org/web/20200522142638/https://www.artsgeorgia.net/directory/georgia/,5/22/2020,United States of America,https://web.archive.org/web/20200522142638/https://www.artsgeorgia.net/directory/georgia/,5/22/2020,,,,+1,,,mailto:,,,,,,,,,"","","",,,,,,,,,,,,,,,,"","",
