Code,organization_label (en),REF URL organization_label (en),RET DAT organization_label (en),description (en),alias (en),instance of (P31),REF URL instance of (P31),RET DAT instance of (P31),located at street address (P6375),REF URL located at street address (P6375),RET DAT located at street address (P6375),city (P131),REF URL city (P131),RET DAT city (P131),county (P131),REF URL county (P131),RET DAT county (P131),state (P131),REF URL state (P131),RET DAT state (P131),country (P17),REF URL country (P17),RET DAT country (P17),coordinate location (P625),REF URL coordinate location (P625),RET DAT coordinate location (P625),phone number (P1329),REF URL phone number (P1329),RET DAT phone number (P1329),email address (P968),REF URL email address (P968),RET DAT email address (P968),official website (P856),REF URL official website (P856),RET DAT official website (P856),inception (P571),REF URL inception (P571),RET DAT inception (P571),"dissolved, abolished or demolished (P576)","REF URL dissolved, abolished or demolished (P576)","RET DAT dissolved, abolished or demolished (P576)",parent organization (P749),REF URL parent organization (P749),RET DAT parent organization (P749),subsidiaries (P355),REF URL subsidiaries (P355),RET DAT subsidiaries (P355),PO Box (P2918),REF URL PO Box (P2918),RET DAT PO Box (P2918),Postal Code (P281),REF URL Postal Code (P281),RET DAT Postal Code (P281),Facebook ID (P2013),REF URL Facebook ID (P2013),RET DAT Facebook ID (P2013)," Source Notes"," Internal Notes"
166,Fairmount City Library,https://web.archive.org/web/20191114183510/https://georgialibraries.org/allpubliclibraryfacilities/,2019-11-14,"independent library in Fairmount, Georgia, USA",,library,https://web.archive.org/web/20191114183510/https://georgialibraries.org/allpubliclibraryfacilities/,2019-11-14,"150 North Avenue, Fairmount, GA 30139",https://web.archive.org/web/20191114183510/https://georgialibraries.org/allpubliclibraryfacilities/,2019-11-14,Fairmount,https://web.archive.org/web/20191114183510/https://georgialibraries.org/allpubliclibraryfacilities/,2019-11-14,Gordon County,https://web.archive.org/web/20191118151158/https://www.mapdevelopers.com/,2019-11-18,Georgia,https://web.archive.org/web/20191114183510/https://georgialibraries.org/allpubliclibraryfacilities/,2019-11-14,United States of America,https://web.archive.org/web/20191114183510/https://georgialibraries.org/allpubliclibraryfacilities/,2019-11-14,"34.8254, -84.7621",https://geocoder.maplarge.com/Geocoder,2019-12-02,-4152,https://web.archive.org/web/20191114183510/https://georgialibraries.org/allpubliclibraryfacilities/,2019-11-14,,,,https://fairmountga.gov/Library.aspx,https://web.archive.org/web/20191022145747/https://fairmountga.gov/Library.aspx,2019-10-22,,,,"","","",City of Fairmount,https://web.archive.org/web/20191022144009/https://fairmountga.gov/Default.aspx,2019-10-22,,,,,,,,,,,,,"",""
167,Newnan Carnegie,https://web.archive.org/web/20191114183510/https://georgialibraries.org/allpubliclibraryfacilities/,2019-11-14,"independent library in Newnan, Georgia, USA",,library,https://web.archive.org/web/20191114183510/https://georgialibraries.org/allpubliclibraryfacilities/,2019-11-14,"1 LaGrange Street, Newnan, GA 30263",https://web.archive.org/web/20191114183510/https://georgialibraries.org/allpubliclibraryfacilities/,2019-11-14,LaGrange,https://web.archive.org/web/20191114183510/https://georgialibraries.org/allpubliclibraryfacilities/,2019-11-14,Coweta County,https://web.archive.org/web/20191118151158/https://www.mapdevelopers.com/,2019-11-18,Georgia,https://web.archive.org/web/20191114183510/https://georgialibraries.org/allpubliclibraryfacilities/,2019-11-14,United States of America,https://web.archive.org/web/20191114183510/https://georgialibraries.org/allpubliclibraryfacilities/,2019-11-14,"33.3742828369141, -84.8008270263672",https://geocoder.maplarge.com/Geocoder,2019-12-02,-2799,https://web.archive.org/web/20191114183510/https://georgialibraries.org/allpubliclibraryfacilities/,2019-11-14,,,,https://www.newnancarnegie.com/,https://web.archive.org/web/20191022145908/https://www.newnancarnegie.com/,2019-10-22,1903,https://web.archive.org/web/20191022150055/https://www.newnancarnegie.com/history,2019-10-22,"","","",The Newnan Carnegie Library Foundation,https://web.archive.org/web/20191022150340/http://newnanclf.com/,2019-10-22,,,,,,,,,,NewnanCarnegie,https://web.archive.org/web/20191022150118/https://www.facebook.com/NewnanCarnegie/,2019-10-22,"",""
168,Sayers Memorial Library,https://web.archive.org/web/20191114183510/https://georgialibraries.org/allpubliclibraryfacilities/,2019-11-14,"independent library in Fort Benning, Georgia, USA",,library,https://web.archive.org/web/20191114183510/https://georgialibraries.org/allpubliclibraryfacilities/,2019-11-14,"6870 Wold Avenue, Building 93, Fort Benning, GA 31905",https://web.archive.org/web/20191114183510/https://georgialibraries.org/allpubliclibraryfacilities/,2019-11-14,Fort Benning,https://web.archive.org/web/20191114183510/https://georgialibraries.org/allpubliclibraryfacilities/,2019-11-14,Chattahoochee County,https://web.archive.org/web/20191118151158/https://www.mapdevelopers.com/,2019-11-18,Georgia,https://web.archive.org/web/20191114183510/https://georgialibraries.org/allpubliclibraryfacilities/,2019-11-14,United States of America,https://web.archive.org/web/20191114183510/https://georgialibraries.org/allpubliclibraryfacilities/,2019-11-14,"32.3638, -84.9636",https://geocoder.maplarge.com/Geocoder,2019-12-02,-6161,https://web.archive.org/web/20191114183510/https://georgialibraries.org/allpubliclibraryfacilities/,2019-11-14,,,,https://benning.armymwr.com/programs/mwr-library,https://web.archive.org/web/20191106182506/https://benning.armymwr.com/programs/mwr-library,2019-11-06,,,,"","","",United States Army,https://web.archive.org/web/20191022152338/https://www.goarmy.com/,2019-10-22,,,,,,,,,,,,,"",""
175,Madison County Library,https://web.archive.org/web/20191114183510/https://georgialibraries.org/allpubliclibraryfacilities/,2019-11-14,"public library in Danielsville, Georgia, USA",,library,https://web.archive.org/web/20191114183510/https://georgialibraries.org/allpubliclibraryfacilities/,2019-11-14,"1315 Highway 98 West, Danielsville, GA 30633",https://web.archive.org/web/20191114183510/https://georgialibraries.org/allpubliclibraryfacilities/,2019-11-14,Danielsville,https://web.archive.org/web/20191114183510/https://georgialibraries.org/allpubliclibraryfacilities/,2019-11-14,Madison County,https://web.archive.org/web/20191023133556/http://www.athenslibrary.org/madison,2019-10-23,Georgia,https://web.archive.org/web/20191114183510/https://georgialibraries.org/allpubliclibraryfacilities/,2019-11-14,United States of America,https://web.archive.org/web/20191114183510/https://georgialibraries.org/allpubliclibraryfacilities/,2019-11-14,"34.1418, -83.2347",https://geocoder.maplarge.com/Geocoder,2019-12-02,-7097,https://web.archive.org/web/20191114183510/https://georgialibraries.org/allpubliclibraryfacilities/,2019-11-14,,,,http://www.athenslibrary.org/madison,https://web.archive.org/web/20191023133556/http://www.athenslibrary.org/madison,2019-10-23,,,,"","","",Athens Regional Library System,https://web.archive.org/web/20191022153121/http://www.athenslibrary.org/,2019-10-22,,,,,,,,,,madisoncolibrary,https://web.archive.org/web/20191023133640/https://www.facebook.com/madisoncolibrary/,2019-10-23,"",""
176,Oconee County Library,https://web.archive.org/web/20191114183510/https://georgialibraries.org/allpubliclibraryfacilities/,2019-11-14,"public library in Watkinsville, Georgia, USA",,library,https://web.archive.org/web/20191114183510/https://georgialibraries.org/allpubliclibraryfacilities/,2019-11-14,"1080 Experiment Station Road, Watkinsville, GA 30677",https://web.archive.org/web/20191114183510/https://georgialibraries.org/allpubliclibraryfacilities/,2019-11-14,Watkinsville,https://web.archive.org/web/20191114183510/https://georgialibraries.org/allpubliclibraryfacilities/,2019-11-14,Oconee County,https://web.archive.org/web/20191023133831/http://www.athenslibrary.org/oconee,2019-10-23,Georgia,https://web.archive.org/web/20191114183510/https://georgialibraries.org/allpubliclibraryfacilities/,2019-11-14,United States of America,https://web.archive.org/web/20191114183510/https://georgialibraries.org/allpubliclibraryfacilities/,2019-11-14,"33.8677, -83.4162",https://geocoder.maplarge.com/Geocoder,2019-12-02,-5424,https://web.archive.org/web/20191114183510/https://georgialibraries.org/allpubliclibraryfacilities/,2019-11-14,,,,http://www.athenslibrary.org/oconee,https://web.archive.org/web/20191023133831/http://www.athenslibrary.org/oconee,2019-10-23,,,,"","","",Athens Regional Library System,https://web.archive.org/web/20191022153121/http://www.athenslibrary.org/,2019-10-22,,,,837,https://web.archive.org/web/20191023133831/http://www.athenslibrary.org/oconee,2019-10-23,30677,https://web.archive.org/web/20191023133831/http://www.athenslibrary.org/oconee,2019-10-23,OconeeLibrary,https://web.archive.org/web/20191023133944/https://www.facebook.com/OconeeLibrary,2019-10-23,"",""
177,Oglethorpe County Library,https://web.archive.org/web/20191114183510/https://georgialibraries.org/allpubliclibraryfacilities/,2019-11-14,"public library in Lexington, Georgia, USA",,library,https://web.archive.org/web/20191114183510/https://georgialibraries.org/allpubliclibraryfacilities/,2019-11-14,"858 Athens Road, Lexington, GA 30648",https://web.archive.org/web/20191114183510/https://georgialibraries.org/allpubliclibraryfacilities/,2019-11-14,Lexington,https://web.archive.org/web/20191114183510/https://georgialibraries.org/allpubliclibraryfacilities/,2019-11-14,Oglethorpe County,https://web.archive.org/web/20191023135001/http://www.athenslibrary.org/oglethorpe,2019-10-23,Georgia,https://web.archive.org/web/20191114183510/https://georgialibraries.org/allpubliclibraryfacilities/,2019-11-14,United States of America,https://web.archive.org/web/20191114183510/https://georgialibraries.org/allpubliclibraryfacilities/,2019-11-14,"33.8877, -83.1301",https://geocoder.maplarge.com/Geocoder,2019-12-02,-10265,https://web.archive.org/web/20191114183510/https://georgialibraries.org/allpubliclibraryfacilities/,2019-11-14,,,,http://www.athenslibrary.org/oglethorpe,https://web.archive.org/web/20191023135001/http://www.athenslibrary.org/oglethorpe,2019-10-23,,,,"","","",Athens Regional Library System,https://web.archive.org/web/20191022153121/http://www.athenslibrary.org/,2019-10-22,,,,,,,,,,OglethorpeCountyLibrary,https://web.archive.org/web/20191023135038/https://www.facebook.com/OglethorpeCountyLibrary,2019-10-23,"",""
186,Central Library & Library System Headquarters,https://web.archive.org/web/20191030175802/http://www.afpls.org/central-hq,2019-10-30,"public library in Atlanta, Georgia, USA",,library,https://web.archive.org/web/20191114183510/https://georgialibraries.org/allpubliclibraryfacilities/,2019-11-14,"One Margaret Mitchell Square, Atlanta, GA 30303",https://web.archive.org/web/20191114183510/https://georgialibraries.org/allpubliclibraryfacilities/,2019-11-14,Atlanta,https://web.archive.org/web/20191114183510/https://georgialibraries.org/allpubliclibraryfacilities/,2019-11-14,Fulton County,https://web.archive.org/web/20191030175802/http://www.afpls.org/central-hq,2019-10-30,Georgia,https://web.archive.org/web/20191114183510/https://georgialibraries.org/allpubliclibraryfacilities/,2019-11-14,United States of America,https://web.archive.org/web/20191114183510/https://georgialibraries.org/allpubliclibraryfacilities/,2019-11-14,"33.7533, -84.39",https://geocoder.maplarge.com/Geocoder,2019-12-02,-2833,https://web.archive.org/web/20191114183510/https://georgialibraries.org/allpubliclibraryfacilities/,2019-11-14,,,,http://www.afpls.org/central-hq,https://web.archive.org/web/20191030175802/http://www.afpls.org/central-hq,2019-10-30,1980,https://web.archive.org/web/20191030175802/http://www.afpls.org/central-hq,2019-10-30,"","","",Atlanta-Fulton Public Library System,https://web.archive.org/web/20191022183759/http://afpls.org/,2019-10-22,,,,,,,,,,,,,"",""
196,Martin Luther King Jr. Branch,https://web.archive.org/web/20191114183510/https://georgialibraries.org/allpubliclibraryfacilities/,2019-11-14,"public library in Atlanta, Georgia, USA",,library,https://web.archive.org/web/20191114183510/https://georgialibraries.org/allpubliclibraryfacilities/,2019-11-14,"409 John Wesley Dobbs Avenue, Atlanta, GA 30312",https://web.archive.org/web/20191114183510/https://georgialibraries.org/allpubliclibraryfacilities/,2019-11-14,Atlanta,https://web.archive.org/web/20191114183510/https://georgialibraries.org/allpubliclibraryfacilities/,2019-11-14,Fulton County,https://web.archive.org/web/20191030192914/http://www.afpls.org/mlk-branch,2019-10-30,Georgia,https://web.archive.org/web/20191114183510/https://georgialibraries.org/allpubliclibraryfacilities/,2019-11-14,United States of America,https://web.archive.org/web/20191114183510/https://georgialibraries.org/allpubliclibraryfacilities/,2019-11-14,"33.7586481458634, -84.3740743060479",https://geocoder.maplarge.com/Geocoder,2019-12-02,-2318,https://web.archive.org/web/20191114183510/https://georgialibraries.org/allpubliclibraryfacilities/,2019-11-14,,,,http://www.afpls.org/mlk-branch,https://web.archive.org/web/20191030192914/http://www.afpls.org/mlk-branch,2019-10-30,,,,"","","",Atlanta-Fulton Public Library System,https://web.archive.org/web/20191022183759/http://afpls.org/,2019-10-22,,,,,,,,,,,,,"",""
198,Metropolitan Branch,https://web.archive.org/web/20191114183510/https://georgialibraries.org/allpubliclibraryfacilities/,2019-11-14,"public library in Atlanta, Georgia, USA",,library,https://web.archive.org/web/20191114183510/https://georgialibraries.org/allpubliclibraryfacilities/,2019-11-14,"1332 Metropolitan Parkway, Atlanta, GA 30310",https://web.archive.org/web/20191114183510/https://georgialibraries.org/allpubliclibraryfacilities/,2019-11-14,Atlanta,https://web.archive.org/web/20191114183510/https://georgialibraries.org/allpubliclibraryfacilities/,2019-11-14,Fulton County,https://web.archive.org/web/20191030193059/http://www.afpls.org/metropolitan-branch6,2019-10-30,Georgia,https://web.archive.org/web/20191114183510/https://georgialibraries.org/allpubliclibraryfacilities/,2019-11-14,United States of America,https://web.archive.org/web/20191114183510/https://georgialibraries.org/allpubliclibraryfacilities/,2019-11-14,"33.7184388888889, -84.4079",https://geocoder.maplarge.com/Geocoder,2019-12-02,-6738,https://web.archive.org/web/20191114183510/https://georgialibraries.org/allpubliclibraryfacilities/,2019-11-14,,,,http://www.afpls.org/metropolitan-branch6,https://web.archive.org/web/20191030193059/http://www.afpls.org/metropolitan-branch6,2019-10-30,,,,"","","",Atlanta-Fulton Public Library System,https://web.archive.org/web/20191022183759/http://afpls.org/,2019-10-22,,,,,,,,,,,,,"",""
199,Milton Branch,https://web.archive.org/web/20191114183510/https://georgialibraries.org/allpubliclibraryfacilities/,2019-11-14,"public library in Milton, Georgia, USA",,library,https://web.archive.org/web/20191114183510/https://georgialibraries.org/allpubliclibraryfacilities/,2019-11-14,"855 Mayfield Road, Milton, GA 30009",https://web.archive.org/web/20191114183510/https://georgialibraries.org/allpubliclibraryfacilities/,2019-11-14,Milton,https://web.archive.org/web/20191114183510/https://georgialibraries.org/allpubliclibraryfacilities/,2019-11-14,Fulton County,https://web.archive.org/web/20191030193431/http://www.afpls.org/locations/locations2/1610-milton-branch,2019-10-30,Georgia,https://web.archive.org/web/20191114183510/https://georgialibraries.org/allpubliclibraryfacilities/,2019-11-14,United States of America,https://web.archive.org/web/20191114183510/https://georgialibraries.org/allpubliclibraryfacilities/,2019-11-14,"34.0904846191406, -84.3366470336914",https://geocoder.maplarge.com/Geocoder,2019-12-02,-5418,https://web.archive.org/web/20191030193431/http://www.afpls.org/locations/locations2/1610-milton-branch,2019-10-30,,,,http://www.afpls.org/locations/locations2/1610-milton-branch,https://web.archive.org/web/20191030193431/http://www.afpls.org/locations/locations2/1610-milton-branch,2019-10-30,,,,"","","",Atlanta-Fulton Public Library System,https://web.archive.org/web/20191022183759/http://afpls.org/,2019-10-22,,,,,,,,,,,,,"",""
