Code,organization_label (en),REF URL organization_label (en),RET DAT organization_label (en),description (en),alias (en),instance of (P31),REF URL instance of (P31),RET DAT instance of (P31),located at street address (P6375),REF URL located at street address (P6375),RET DAT located at street address (P6375),city (P131),REF URL city (P131),RET DAT city (P131),county (P131),REF URL county (P131),RET DAT county (P131),state (P131),REF URL state (P131),RET DAT state (P131),country (P17),REF URL country (P17),RET DAT country (P17),coordinate location (P625),REF URL coordinate location (P625),RET DAT coordinate location (P625),phone number (P1329),REF URL phone number (P1329),RET DAT phone number (P1329),email address (P968),REF URL email address (P968),RET DAT email address (P968),official website (P856),REF URL official website (P856),RET DAT official website (P856),inception (P571),REF URL inception (P571),RET DAT inception (P571),"dissolved, abolished or demolished (P576)","REF URL dissolved, abolished or demolished (P576)","RET DAT dissolved, abolished or demolished (P576)",parent organization (P749),REF URL parent organization (P749),RET DAT parent organization (P749),subsidiaries (P355),REF URL subsidiaries (P355),RET DAT subsidiaries (P355),PO Box (P2918),REF URL PO Box (P2918),RET DAT PO Box (P2918),Postal Code (P281),REF URL Postal Code (P281),RET DAT Postal Code (P281),Facebook ID (P2013),REF URL Facebook ID (P2013),RET DAT Facebook ID (P2013)," Source Notes"," Internal Notes",QC
1087,Amicalola Falls State Park,https://web.archive.org/web/20200414152150/https://gastateparks.org/Map,2020-04-14,"state park in Dawsonville, Georgia, USA",,state park,https://web.archive.org/web/20200414152150/https://gastateparks.org/Map,2020-05-01,"418 Amicalola Falls Road Dawsonville, GA 30534",https://web.archive.org/web/20200404195754/https://www.amicalolafallslodge.com/,2020-05-04,Dawsonville,https://web.archive.org/web/20200404195754/https://www.amicalolafallslodge.com/,2020-05-01,Dawson,"https://www.google.com/maps/place/418+Amicalola+Falls+Lodge+Rd,+Dawsonville,+GA+30534/@34.5653051,-84.2429208,19.57z/",2020-05-01,Georgia,https://web.archive.org/web/20200414152150/https://gastateparks.org/Map,2020-04-21,United States of America,https://web.archive.org/web/20200414152150/https://gastateparks.org/Map,2020-04-21,"34.565397, -84.242662","https://www.google.com/maps/place/418+Amicalola+Falls+Lodge+Rd,+Dawsonville,+GA+30534/@34.5653051,-84.2429208,19.57z/",,+1-706-344-1500,http://web.archive.org/web/20200421160143/https://www.facebook.com/AmicalolaFallsLodge/,2020-04-21,,,,https://www.amicalolafallslodge.com/,https://web.archive.org/web/20200404195754/https://www.amicalolafallslodge.com/,2020-04-04,,,,"","","",,,,,,,,,,,,,115158441879505,http://web.archive.org/web/20200421160143/https://www.facebook.com/AmicalolaFallsLodge/,2020-04-21,"","",
1088,Black Rock Mountain State Park,https://web.archive.org/web/20200414152150/https://gastateparks.org/Map,2020-04-14,"state park in Mountain City, Georgia, USA",,state park,https://web.archive.org/web/20200414152150/https://gastateparks.org/Map,2020-05-01,"3085 Black Rock Mountain Parkway Mountain City, GA 30562",https://web.archive.org/web/20200414152204/https://gastateparks.org/BlackRockMountain,2020-05-04,Mountain City,https://web.archive.org/web/20200414152204/https://gastateparks.org/BlackRockMountain,2020-05-01,Rabun,https://web.archive.org/web/20200414152204/https://gastateparks.org/BlackRockMountain,,Georgia,https://web.archive.org/web/20200414152150/https://gastateparks.org/Map,2020-04-21,United States of America,https://web.archive.org/web/20200414152150/https://gastateparks.org/Map,2020-04-21,"34.9069220, -83.4083750",,,+1-706-746-2141,,,,,,https://gastateparks.org/BlackRockMountain,https://web.archive.org/web/20200414152204/https://gastateparks.org/BlackRockMountain,2020-04-14,,,,"","","",Georgia State Parks and Historic Sites Headquarters,,,,,,,,,,,,220165609304,http://web.archive.org/web/20200421164254/https://www.facebook.com/georgiastateparks/,2020-04-21,"","",
1098,Chattahoochee Bend State Park,https://web.archive.org/web/20200414152150/https://gastateparks.org/Map,2020-04-14,"state park in Newnan, Georgia, USA",,state park,https://web.archive.org/web/20200414152150/https://gastateparks.org/Map,2020-05-01,"425 Bobwhite Way Newnan, GA 30263",https://web.archive.org/web/20200414152204/https://gastateparks.org/ChattahoocheeBend,2020-05-04,Newnan,https://web.archive.org/web/20200414152204/https://gastateparks.org/ChattahoocheeBend,2020-05-01,Coweta,https://web.archive.org/web/20200414152204/https://gastateparks.org/ChattahoocheeBend,,Georgia,https://web.archive.org/web/20200414152150/https://gastateparks.org/Map,2020-04-21,United States of America,https://web.archive.org/web/20200414152150/https://gastateparks.org/Map,2020-04-21,"33.4297220, -84.9895480",,,+1-770-254-7271,,,,,,https://gastateparks.org/ChattahoocheeBend,https://web.archive.org/web/20200414152204/https://gastateparks.org/ChattahoocheeBend,2020-04-14,,,,"","","",,,,,,,,,,,,,839278089485508,http://web.archive.org/web/20200421172152/https://www.facebook.com/chattbendstatepark,2020-04-21,"","",
1099,Cloudland Canyon State Park,https://web.archive.org/web/20200414152150/https://gastateparks.org/Map,2020-04-14,"state park in Rising Fawn, Georgia, USA",,state park,https://web.archive.org/web/20200414152150/https://gastateparks.org/Map,2020-05-01,"122 Cloudland Canyon Park Road Rising Fawn, GA 30738",https://web.archive.org/web/20200414152329/https://gastateparks.org/CloudlandCanyon,2020-05-04,Rising Fawn,https://web.archive.org/web/20200414152329/https://gastateparks.org/CloudlandCanyon,2020-05-01,Dade,https://web.archive.org/web/20200414152329/https://gastateparks.org/CloudlandCanyon,,Georgia,https://web.archive.org/web/20200414152150/https://gastateparks.org/Map,2020-04-21,United States of America,https://web.archive.org/web/20200414152150/https://gastateparks.org/Map,2020-04-21,"34.8402630, -85.4828810",,,+1-706-657-4050,,,,,,https://gastateparks.org/CloudlandCanyon,https://web.archive.org/web/20200414152329/https://gastateparks.org/CloudlandCanyon,2020-04-14,,,,"","","",,,,,,,,,,,,,1483914761832268,http://web.archive.org/web/20200421170731/https://www.facebook.com/CloudlandCanyonStatePark/,2020-04-21,"","",
1109,Crooked River State Park,https://web.archive.org/web/20200414152150/https://gastateparks.org/Map,2020-04-14,"state park in St. Marys, Georgia, USA",,state park,https://web.archive.org/web/20200414152150/https://gastateparks.org/Map,2020-05-01,"6222 Charlie Smith Senior Highway St. Marys, GA 31558",https://web.archive.org/web/20200414152211/https://gastateparks.org/CrookedRiver,2020-05-04,St. Marys,https://web.archive.org/web/20200414152211/https://gastateparks.org/CrookedRiver,2020-05-01,Camden,https://web.archive.org/web/20200414152211/https://gastateparks.org/CrookedRiver,,Georgia,https://web.archive.org/web/20200414152150/https://gastateparks.org/Map,2020-04-21,United States of America,https://web.archive.org/web/20200414152150/https://gastateparks.org/Map,2020-04-21,"30.8422056, -81.5524702",,,+1-912-882-5256,,,,,,https://gastateparks.org/CrookedRiver,https://web.archive.org/web/20200414152211/https://gastateparks.org/CrookedRiver,2020-04-14,,,,"","","",,,,,,,,,,,,,1511468749168813,http://web.archive.org/web/20200421184941/https://www.facebook.com/crookedriver.statepark/,2020-04-21,"","",
1121,Dames Ferry Campground State Park,https://web.archive.org/web/20200414152150/https://gastateparks.org/Map,2020-04-14,"state park in Juliette, Georgia, USA",,state park,https://web.archive.org/web/20200414152150/https://gastateparks.org/Map,2020-05-01,"9546 GA Highway 87 Juliette, GA 31046",https://web.archive.org/web/20200414152214/https://gastateparks.org/DamesFerry,2020-05-04,Juliette,https://web.archive.org/web/20200414152214/https://gastateparks.org/DamesFerry,2020-05-01,Monroe,https://web.archive.org/web/20200414152214/https://gastateparks.org/DamesFerry,,Georgia,https://web.archive.org/web/20200414152150/https://gastateparks.org/Map,2020-04-21,United States of America,https://web.archive.org/web/20200414152150/https://gastateparks.org/Map,2020-04-21,"33.0437098, -83.7582016",,,+1-478-994-7945,,,,,,https://gastateparks.org/DamesFerry,https://web.archive.org/web/20200414152214/https://gastateparks.org/DamesFerry,2020-04-14,,,,"","","",,,,,,,,,,,,,220165609304,http://web.archive.org/web/20200421164254/https://www.facebook.com/georgiastateparks/,2020-04-21,"","",
1158,Don Carter State Park,https://web.archive.org/web/20200414152150/https://gastateparks.org/Map,2020-04-14,"state park in Gainesville, Georgia, USA",,state park,https://web.archive.org/web/20200414152150/https://gastateparks.org/Map,2020-05-01,"5000 North Browning Bridge Road Gainesville, GA 30506",https://web.archive.org/web/20200414154551/https://gastateparks.org/DonCarter,2020-05-04,Gainesville,https://web.archive.org/web/20200414154551/https://gastateparks.org/DonCarter,2020-05-01,Hall,https://web.archive.org/web/20200414154551/https://gastateparks.org/DonCarter,,Georgia,https://web.archive.org/web/20200414152150/https://gastateparks.org/Map,2020-04-21,United States of America,https://web.archive.org/web/20200414152150/https://gastateparks.org/Map,2020-04-21,"34.3876220, -83.7464620",,,+1-678-450-7726,,,,,,https://gastateparks.org/DonCarter,https://web.archive.org/web/20200414154551/https://gastateparks.org/DonCarter,2020-04-14,,,,"","","",,,,,,,,,,,,,328352793843382,http://web.archive.org/web/20200421191930/https://www.facebook.com/DonCarterSP/,2020-04-21,"","",
1256,Elijah Clark State Park,https://web.archive.org/web/20200414152150/https://gastateparks.org/Map,2020-04-14,"state park in Lincolnton, Georgia, USA",,state park,https://web.archive.org/web/20200414152150/https://gastateparks.org/Map,2020-05-01,"2959 McCormick Highway Lincolnton, GA 30817",https://web.archive.org/web/20200414152313/https://gastateparks.org/ElijahClark,2020-05-04,Lincolnton,https://web.archive.org/web/20200414152313/https://gastateparks.org/ElijahClark,2020-05-01,Lincoln,https://web.archive.org/web/20200414152313/https://gastateparks.org/ElijahClark,,Georgia,https://web.archive.org/web/20200414152150/https://gastateparks.org/Map,2020-04-21,United States of America,https://web.archive.org/web/20200414152150/https://gastateparks.org/Map,2020-04-21,"33.8540080, -82.4095420",,,+1-706-359-3458,,,,,,https://gastateparks.org/ElijahClark,https://web.archive.org/web/20200414152313/https://gastateparks.org/ElijahClark,2020-04-14,,,,"","","",,,,,,,,,,,,,112967205381303,http://web.archive.org/web/20200421191737/https://www.facebook.com/elijahclarksp/,2020-04-21,"","",
1300,F.D. Roosevelt State Park,https://web.archive.org/web/20200414152150/https://gastateparks.org/Map,2020-04-14,"state park in Pine Mountain, Georgia, USA",,state park,https://web.archive.org/web/20200414152150/https://gastateparks.org/Map,2020-05-01,"2970 Georgia Highway 190 Pine Mountain, GA 31822",https://web.archive.org/web/20200414152314/https://gastateparks.org/FDRoosevelt,2020-05-04,Pine Mountain,https://web.archive.org/web/20200414152314/https://gastateparks.org/FDRoosevelt,2020-05-01,Harris,https://web.archive.org/web/20200414152314/https://gastateparks.org/FDRoosevelt,,Georgia,https://web.archive.org/web/20200414152150/https://gastateparks.org/Map,2020-04-21,United States of America,https://web.archive.org/web/20200414152150/https://gastateparks.org/Map,2020-04-21,"32.837533, -084.815616",,,+1-706-663-4858,,,,,,https://gastateparks.org/FDRoosevelt,https://web.archive.org/web/20200414152314/https://gastateparks.org/FDRoosevelt,2020-04-14,,,,"","","",,,,,,,,,,,,,1460147924213300,http://web.archive.org/web/20200421193432/https://www.facebook.com/FDRSTATEPARKGA/,2020-04-21,"","",
1301,Florence Marina State Park,https://web.archive.org/web/20200414152150/https://gastateparks.org/Map,2020-04-14,"state park in Omaha, Georgia, USA",,state park,https://web.archive.org/web/20200414152150/https://gastateparks.org/Map,2020-05-01,"218 Florence Road Omaha, GA 31821",https://web.archive.org/web/20200414152340/https://gastateparks.org/FlorenceMarina,2020-05-04,Omaha,https://web.archive.org/web/20200414152340/https://gastateparks.org/FlorenceMarina,2020-05-01,Stewart,https://web.archive.org/web/20200414152340/https://gastateparks.org/FlorenceMarina,,Georgia,https://web.archive.org/web/20200414152150/https://gastateparks.org/Map,2020-04-21,United States of America,https://web.archive.org/web/20200414152150/https://gastateparks.org/Map,2020-04-21,"32.0895700, -85.0430630",,,+1-229-838-6870,,,,,,https://gastateparks.org/FlorenceMarina,https://web.archive.org/web/20200414152340/https://gastateparks.org/FlorenceMarina,2020-04-14,,,,"","","",,,,,,,,,,,,,220165609304,http://web.archive.org/web/20200421164254/https://www.facebook.com/georgiastateparks/,2020-04-21,"","",
